date:     2026-08-08T13:42:41Z
uname:    Darwin 24.6.0 arm64
cpu:      Apple M4
cores:    10 physical / 10 logical
l1d:      131072
l2:       16777216
line:     128
page:     16384
memory:   17179869184
compiler: Apple clang version 17.0.0 (clang-1700.0.13.3)
sortlab — geometric (radix/SIMD) vs scalar (comparator) sort
isa=neon vector_lanes=2 pointer=64b

=== scale — n, single 64-bit lane, random keys, permutation out
contender              config                              n        ns/op      ns/elem      Melem/s       B/op   allocs  passes
radix_carry            e64/random                        256         2135        8.341        119.9          0        0     0.0
radix_carry_alloc      e64/random                        256         2472        9.656        103.6       5512       10     0.0
std::sort_direct       e64/random                        512         2017        3.939        253.9          0        0     0.0
bitonic_scalar         e64/random                        512        13590       26.544         37.7          0        0     0.0
bitonic_neon           e64/random                        512         3477        6.791        147.2          0        0     0.0
insertion_perm         e64/random                        512        38070       74.356         13.4          0        0     0.0
std::sort_perm         e64/random                        512         4146        8.097        123.5          0        0     0.0
radix_carry            e64/random                        512         3857        7.534        132.7          0        0     0.0
radix_carry_alloc      e64/random                        512         4159        8.123        123.1      10888       10     0.0

wrote results/smalln.csv (49 rows)
sortlab — geometric (radix/SIMD) vs scalar (comparator) sort
isa=neon vector_lanes=2 pointer=64b

=== top-k — LIMIT is not a sort
contender              config                              n        ns/op      ns/elem      Melem/s       B/op   allocs  passes
------------------------------------------------------------------------------------------------------------------------------
radix_carry_full       k=all                             10M     92031917        9.203        108.7          0        0     8.0
std::sort_perm_full    k=all                             10M    946874417       94.687         10.6          0        0     0.0
std::partial_sort      k=1                               10M     10023666        1.002        997.6          0        0     0.0
radix_msd_topk         k=1                               10M     11570625        1.157        864.3          0        0     0.0
std::partial_sort      k=10                              10M     10120000        1.012        988.1          0        0     0.0
radix_msd_topk         k=10                              10M     11511209        1.151        868.7          0        0     0.0
std::partial_sort      k=100                             10M     10131584        1.013        987.0          0        0     0.0
radix_msd_topk         k=100                             10M     11608584        1.161        861.4          0        0     0.0
std::partial_sort      k=1000                            10M     10622000        1.062        941.4          0        0     0.0
radix_msd_topk         k=1000                            10M     11443542        1.144        873.9          0        0     0.0
std::partial_sort      k=10000                           10M     18023500        1.802        554.8          0        0     0.0
radix_msd_topk         k=10000                           10M     12173208        1.217        821.5          0        0     0.0

wrote results/topk.csv (12 rows)
